GCnum,date,time,compound,retention,area,height,sample,batch,ppm,redo ,unique_batch
ecd01.CHR,10/6/20,9:07:30,N2O,1.483,17.9216,2.571,Mix1,1,0.301,,1_10/6/20
ecd02.CHR,10/6/20,9:12:42,N2O,1.49,107.7728,15.275,Mix2,1,2.046,,1_10/6/20
ecd03.CHR,10/6/20,9:17:54,N2O,1.49,656.5964,89.689,Mix3,1,16.66,,1_10/6/20
ecd04.CHR,10/6/20,9:23:07,N2O,1.48,2.3668,0.345,Amb,1,,,1_10/6/20
ecd05.CHR,10/6/20,9:28:19,N2O,1.49,2.0644,0.305,Amb,1,,,1_10/6/20
ecd06.CHR,10/6/20,9:33:32,N2O,1.49,2.5582,0.383,Amb,1,,,1_10/6/20
ecd112.CHR,10/6/20,20:29:50,N2O,1.5,5.3964,0.814,C1-0,1,,,1_10/6/20
ecd07.CHR,10/6/20,9:38:44,N2O,1.5,4.4882,0.655,2012-45,1,,,1_10/6/20
ecd08.CHR,10/6/20,9:43:57,N2O,1.49,5.6312,0.857,2003-45,1,,,1_10/6/20
ecd09.CHR,10/6/20,9:49:09,N2O,1.493,4.5608,0.67,235-45,1,,,1_10/6/20
ecd10.CHR,10/6/20,9:54:22,N2O,1.493,4.252,0.635,2002-45,1,,,1_10/6/20
ecd11.CHR,10/6/20,9:59:35,N2O,1.5,4.1296,0.617,243-45,1,,,1_10/6/20
ecd12.CHR,10/6/20,10:04:47,N2O,1.496,4.7172,0.691,2022-45,1,,,1_10/6/20
ecd13.CHR,10/6/20,10:10:00,N2O,1.5,5.0204,0.73,234-45,1,,,1_10/6/20
ecd14.CHR,10/6/20,10:15:13,N2O,1.486,4.9948,0.727,238-45,1,,,1_10/6/20
ecd15.CHR,10/6/20,10:20:26,N2O,1.49,4.8988,0.718,2017-45,1,,,1_10/6/20
ecd16.CHR,10/6/20,10:25:39,N2O,1.496,4.9922,0.722,252-45,1,,,1_10/6/20
ecd17.CHR,10/6/20,10:30:51,N2O,1.496,4.9196,0.72,2007-45,1,,,1_10/6/20
ecd18.CHR,10/6/20,10:38:30,N2O,1.5,16.8036,1.055,2018-45,1,,,1_10/6/20
ecd19.CHR,10/6/20,10:45:26,N2O,1.503,5.1568,0.776,248-45,1,,,1_10/6/20
ecd20.CHR,10/6/20,10:50:56,N2O,1.5,5.8138,0.879,2005-45,1,,,1_10/6/20
ecd21.CHR,10/6/20,10:56:08,N2O,1.493,4.834,0.717,C2-45,1,,,1_10/6/20
ecd22.CHR,10/6/20,11:01:21,N2O,1.5,4.873,0.716,2012-90,1,,,1_10/6/20
ecd23.CHR,10/6/20,11:06:34,N2O,1.496,5.007,0.732,2003-90,1,,,1_10/6/20
ecd24.CHR,10/6/20,11:11:46,N2O,1.503,26.3458,1.372,235-90,1,,,1_10/6/20
ecd25.CHR,10/6/20,11:16:58,N2O,1.496,4.415,0.652,2002-90,1,,,1_10/6/20
ecd26.CHR,10/6/20,11:22:11,N2O,1.496,6.6464,0.999,243-90,1,,,1_10/6/20
ecd27.CHR,10/6/20,11:27:24,N2O,1.503,5.196,0.756,2022-90,1,,,1_10/6/20
ecd28.CHR,10/6/20,11:32:37,N2O,1.5,5.6156,0.823,234-90,1,,,1_10/6/20
ecd29.CHR,10/6/20,11:37:49,N2O,1.496,4.8168,0.712,238-90,1,,,1_10/6/20
ecd30.CHR,10/6/20,11:43:02,N2O,1.5,5.026,0.738,2017-90,1,,,1_10/6/20
ecd31.CHR,10/6/20,11:48:15,N2O,1.496,5.3616,0.794,252-90,1,,,1_10/6/20
ecd32.CHR,10/6/20,11:53:28,N2O,1.496,5.8716,0.859,2007-90,1,,,1_10/6/20
ecd33.CHR,10/6/20,11:58:40,N2O,1.496,5.1748,0.756,2018-90,1,,,1_10/6/20
ecd34.CHR,10/6/20,12:03:53,N2O,1.496,5.9718,0.871,248-90,1,,,1_10/6/20
ecd35.CHR,10/6/20,12:09:06,N2O,1.503,7.451,1.092,2005-90,1,,,1_10/6/20
ecd36.CHR,10/6/20,12:14:19,N2O,1.5,6.662,0.977,C2-90,1,,,1_10/6/20
