GCnum,date,time,compound,retention,area,height,sample,batch,ppm,redo,unique_batch
ecd01.CHR,11/2/20,14:35:16,N2O,1.43,17.1238,2.568,Mix1,1,0.301,,1_11/2/20
ecd02.CHR,11/2/20,14:42:20,N2O,1.436,108.0544,15.713,Mix2,1,2.046,,1_11/2/20
ecd03.CHR,11/2/20,14:47:34,N2O,1.43,588.8328,83.456,Mix3,1,16.66,,1_11/2/20
ecd04.CHR,11/2/20,14:52:46,N2O,1.42,0.5076,0.076,Amb,1,,,1_11/2/20
ecd05.CHR,11/2/20,14:57:58,N2O,1.413,0.6788,0.1,Amb,1,,,1_11/2/20
ecd06.CHR,11/2/20,15:03:47,N2O,1.416,0.5518,0.1,Amb,1,,,1_11/2/20
ecd07.CHR,11/2/20,15:08:58,N2O,1.44,0.213,0.252,C1-0,1,,,1_11/2/20
ecd08.CHR,11/2/20,15:15:34,N2O,1.433,0.31,0.624,C-45,1,,,1_11/2/20
ecd09.CHR,11/2/20,15:20:46,N2O,1.436,0.528,0.398,C-90,1,,,1_11/2/20
ecd10.CHR,11/2/20,15:25:58,N2O,1.426,2.7668,0.436,304-45,1,,,1_11/2/20
ecd11.CHR,11/2/20,15:31:10,N2O,1.436,4.6796,0.753,304-90,1,,,1_11/2/20
