GCnum,date,time,compound,retention,area,height,sample,batch,ppm,redo,unique_batch
ecd01.CHR,10/19/20,12:00:13,N2O,1.43,17.6612,2.648,Mix1,1,0.301,,1_10/19/20
ecd02.CHR,10/19/20,12:05:24,N2O,1.433,106.7176,15.624,Mix2,1,2.046,,1_10/19/20
ecd03.CHR,10/19/20,12:10:35,N2O,1.433,607.544,86.008,Mix3,1,16.66,,1_10/19/20
ecd04.CHR,10/19/20,12:15:47,N2O,1.433,2.764,0.421,Amb,1,,,1_10/19/20
ecd05.CHR,10/19/20,12:20:59,N2O,1.433,5.096,0.786,Amb,1,,,1_10/19/20
ecd06.CHR,10/19/20,12:26:36,N2O,1.436,5.6678,0.865,Amb,1,,,1_10/19/20
ecd07.CHR,10/19/20,12:32:51,N2O,1.44,5.4008,0.835,C1-0,1,,,1_10/19/20
ecd10.CHR,10/19/20,12:52:53,N2O,1.44,4.639,0.691,334-45,1,,,1_10/19/20
ecd11.CHR,10/19/20,12:58:05,N2O,1.443,4.1112,0.648,349-45,1,,,1_10/19/20
ecd12.CHR,10/19/20,13:05:45,N2O,1.443,4.0786,0.62,335-45,1,,,1_10/19/20
ecd13.CHR,10/19/20,13:14:06,N2O,1.45,4.6482,0.711,227-45,1,,,1_10/19/20
ecd14.CHR,10/19/20,13:20:43,N2O,1.436,3.686,0.567,341-45,1,,,1_10/19/20
ecd15.CHR,10/19/20,13:25:55,N2O,1.446,4.277,0.685,301-45,1,,,1_10/19/20
ecd16.CHR,10/19/20,13:31:07,N2O,1.436,3.4412,0.535,346-45,1,,,1_10/19/20
ecd17.CHR,10/19/20,13:36:18,N2O,1.446,3.6748,0.589,350-45,1,,,1_10/19/20
ecd18.CHR,10/19/20,13:41:31,N2O,1.44,3.6496,0.575,240-45,1,,,1_10/19/20
ecd19.CHR,10/19/20,13:46:42,N2O,1.446,4.0948,0.642,327-45,1,,,1_10/19/20
ecd20.CHR,10/19/20,13:51:54,N2O,1.443,4.6248,0.744,347-45,1,,,1_10/19/20
ecd21.CHR,10/19/20,13:57:06,N2O,1.44,5.4364,0.845,314-45,1,,,1_10/19/20
ecd22.CHR,10/19/20,14:02:18,N2O,1.446,4.2806,0.688,330-45,1,,,1_10/19/20
ecd23.CHR,10/19/20,14:07:30,N2O,1.443,5.7994,0.915,303-45,1,,,1_10/19/20
ecd24.CHR,10/19/20,14:12:41,N2O,1.443,6.1532,0.964,322-45,1,,,1_10/19/20
ecd25.CHR,10/19/20,14:18:39,N2O,1.456,4.5454,0.701,2004-45,1,,,1_10/19/20
ecd26.CHR,10/19/20,14:23:51,N2O,1.446,4.6748,0.73,337-45,1,,,1_10/19/20
ecd27.CHR,10/19/20,14:29:03,N2O,1.443,3.4444,0.54,C1-45,1,,,1_10/19/20
ecd28.CHR,10/19/20,14:34:15,N2O,1.443,3.3856,0.52,C2-45,1,,,1_10/19/20
ecd29.CHR,10/19/20,14:39:27,N2O,1.44,3.0778,0.496,C3-45,1,,,1_10/19/20
ecd30.CHR,10/19/20,14:44:39,N2O,1.446,5.4668,0.863,334-90,1,,,1_10/19/20
ecd31.CHR,10/19/20,14:49:51,N2O,1.446,5.067,0.81,349-90,1,,,1_10/19/20
ecd32.CHR,10/19/20,14:55:03,N2O,1.443,4.0712,0.634,335-90,1,,,1_10/19/20
ecd33.CHR,10/19/20,15:00:15,N2O,1.453,7.1926,1.135,227-90,1,,,1_10/19/20
ecd34.CHR,10/19/20,15:05:28,N2O,1.446,4.1524,0.66,341-90,1,,,1_10/19/20
ecd35.CHR,10/19/20,15:10:40,N2O,1.446,7.3426,1.163,301-90,1,,,1_10/19/20
ecd36.CHR,10/19/20,15:15:52,N2O,1.45,4.554,0.713,346-90,1,,,1_10/19/20
ecd37.CHR,10/19/20,15:21:04,N2O,1.446,5.5434,0.858,350-90,1,,,1_10/19/20
ecd38.CHR,10/19/20,15:26:16,N2O,1.45,5.184,0.824,240-90,1,,,1_10/19/20
ecd39.CHR,10/19/20,15:31:28,N2O,1.443,5.426,0.852,327-90,1,,,1_10/19/20
ecd40.CHR,10/19/20,15:36:40,N2O,1.446,5.9388,0.932,347-90,1,,,1_10/19/20
ecd41.CHR,10/19/20,15:41:52,N2O,1.45,7.3944,1.178,314-90,1,,,1_10/19/20
ecd42.CHR,10/19/20,15:53:14,N2O,1.453,5.276,0.829,330-90,1,,,1_10/19/20
ecd43.CHR,10/19/20,16:00:03,N2O,1.453,7.9228,1.236,303-90,1,,,1_10/19/20
ecd44.CHR,10/19/20,16:05:15,N2O,1.453,5.8948,0.929,322-90,1,,,1_10/19/20
