GCnum,date,time,compound,retention,area,height,sample,batch,ppm,redo,unique_batch
ecd01.CHR,12/9/20,10:43:50,N2O,1.406,16.3848,2.544,Mix1,1,0.301,,1_12/09/20
ecd02.CHR,12/9/20,10:49:01,N2O,1.41,102.9004,15.448,Mix2,1,2.046,,1_12/09/20
ecd03.CHR,12/9/20,10:54:13,N2O,1.406,614.5524,88.838,Mix3,1,16.66,,1_12/09/20
ecd04.CHR,12/9/20,11:01:51,N2O,1.41,2.7848,0.407,Amb,1,,,1_12/09/20
ecd05.CHR,12/9/20,11:07:02,N2O,1.406,1.281,0.216,Amb,1,,,1_12/09/20
ecd06.CHR,12/9/20,11:12:14,N2O,1.41,1.339,0.209,Amb,1,,,1_12/09/20
ecd07.CHR,12/9/20,11:17:26,N2O,1.4,1.7556,0.289,C1-0,1,,,1_12/09/20
ecd08.CHR,12/9/20,11:22:39,N2O,1.406,3.4292,0.567,401-45,1,,,1_12/09/20
ecd09.CHR,12/9/20,11:28:40,N2O,1.413,4.2292,0.669,402-45,1,,,1_12/09/20
ecd10.CHR,12/9/20,11:34:31,N2O,1.406,3.5214,0.58,403-45,1,,,1_12/09/20
ecd11.CHR,12/9/20,11:39:43,N2O,1.406,2.8304,0.459,404-45,1,,,1_12/09/20
ecd12.CHR,12/9/20,11:44:55,N2O,1.416,2.6718,0.441,405-45,1,,,1_12/09/20
ecd13.CHR,12/9/20,11:50:08,N2O,1.406,2.8816,0.476,406-45,1,,,1_12/09/20
ecd14.CHR,12/9/20,11:55:19,N2O,1.41,3.6632,0.592,407-45,1,,,1_12/09/20
ecd15.CHR,12/9/20,12:00:36,N2O,1.41,3.5908,0.591,408-45,1,,,1_12/09/20
ecd16.CHR,12/9/20,12:05:48,N2O,1.413,5.1448,0.837,409-45,1,,,1_12/09/20
ecd17.CHR,12/9/20,12:12:00,N2O,1.413,4.53,0.712,410-45,1,,,1_12/09/20
ecd18.CHR,12/9/20,12:17:45,N2O,1.406,3.5026,0.561,411-45,1,,,1_12/09/20
ecd19.CHR,12/9/20,12:23:14,N2O,1.413,2.9696,0.496,412-45,1,,,1_12/09/20
ecd20.CHR,12/9/20,12:28:25,N2O,1.416,5.2964,0.856,413-45,1,,,1_12/09/20
ecd21.CHR,12/9/20,12:33:38,N2O,1.416,4.7772,0.774,414-45,1,,,1_12/09/20
ecd22.CHR,12/9/20,12:38:50,N2O,1.42,5.1068,0.827,415-45,1,,,1_12/09/20
