GCnum,date,time,compound,retention,area,height,sample,batch,ppm,redo,unique_batch
ecd01.CHR,2/2/21,16:10:49,N2O,1.406,17.8192,2.718,Mix1,1,0.301,,1_02/07/2021
ecd02.CHR,2/2/21,16:16:03,N2O,1.413,108.5236,16.134,Mix2,1,2.046,,1_02/07/2021
ecd03.CHR,2/2/21,16:21:17,N2O,1.413,642.4684,92.281,Mix3,1,16.66,,1_02/07/2021
ecd04.CHR,2/2/21,16:26:31,N2O,1.406,1.1392,0.188,Amb,1,,,1_02/07/2021
ecd05.CHR,2/2/21,16:31:46,N2O,1.413,0.8302,0.125,Amb,1,,,1_02/07/2021
ecd06.CHR,2/2/21,16:37:00,N2O,1.423,0.6964,0.12,Amb,1,,,1_02/07/2021
ecd07.CHR,2/2/21,16:42:14,N2O,1.413,1.356,0.213,C1-0,1,,,1_02/07/2021
ecd08.CHR,2/2/21,16:47:28,N2O,1.413,3.8774,0.631,601-45,1,,,1_02/07/2021
ecd09.CHR,2/2/21,16:52:42,N2O,1.413,5.544,0.909,602-45,1,,,1_02/07/2021
ecd10.CHR,2/2/21,16:57:57,N2O,1.403,5.8412,0.949,603-45,1,,,1_02/07/2021
ecd11.CHR,2/2/21,17:03:11,N2O,1.42,5.0276,0.826,604-45,1,,,1_02/07/2021
ecd12.CHR,2/2/21,17:08:25,N2O,1.413,4.618,0.758,605-45,1,,,1_02/07/2021
ecd13.CHR,2/2/21,17:13:40,N2O,1.41,4.6,0.751,606-45,1,,,1_02/07/2021
ecd14.CHR,2/2/21,17:18:54,N2O,1.406,4.186,0.691,607-45,1,,,1_02/07/2021
ecd15.CHR,2/2/21,17:24:08,N2O,1.413,3.476,0.575,608-45,1,,,1_02/07/2021
ecd16.CHR,2/3/21,9:23:35,N2O,1.416,4.232,0.687,609-45,1,,,1_02/07/2021
ecd17.CHR,2/3/21,9:28:49,N2O,1.42,6.9768,1.135,610-45,1,,,1_02/07/2021
ecd18.CHR,2/3/21,9:34:04,N2O,1.416,4.5614,0.75,611-45,1,,,1_02/07/2021
ecd19.CHR,2/3/21,9:39:19,N2O,1.426,4.4996,0.711,612-45,1,,,1_02/07/2021
ecd20.CHR,2/3/21,9:44:34,N2O,1.426,4.6494,0.769,613-45,1,,,1_02/07/2021
ecd21.CHR,2/3/21,9:49:49,N2O,1.426,5.401,0.882,614-45,1,,,1_02/07/2021
